YEAR,COUNTY_DISTRICT_CODE,DROPOUT_9_12_TOTAL,DROPOUT_9_12_TOTAL_RATE,DROPOUT_9_12_ASIAN_RATE,DROPOUT_9_12_BLACK_RATE,DROPOUT_9_12_HISPANIC_RATE,DROPOUT_9_12_INDIAN_RATE,DROPOUT_9_12_MULTIRACIAL_RATE,DROPOUT_9_12_WHITE_RATE,DROPOUT_9_12_MALE_RATE,DROPOUT_9_12_FEMALE_RATE
1991,72066,0,0,0,0,0,0,0,0,0,0
1991,72068,21,7.6,0,0,0,0,0,7.8,9.2,6.2
1991,72073,0,0,0,0,0,0,0,0,0,0
1991,72074,31,4.7,0,3.9,0,0,0,5,4.8,4.6
1991,73099,23,6.7,0,0,0,0,0,6.7,8.2,5.2
1991,73102,12,5.5,0,0,0,0,0,5.5,0,0
1991,73105,0,0,0,0,0,0,0,0,0,0
1991,73106,42,10.9,0,0,0,0,0,11.7,9.9,12.1
1991,73108,78,8,0,0,0,0,0,8,8.1,7.9
1991,74187,0,0,0,0,0,0,0,0,0,0
1991,74190,0,0,0,0,0,0,0,0,0,0
1991,74194,0,0,0,0,0,0,0,0,0,0
1991,74195,0,0,0,0,0,0,0,0,0,0
1991,74197,0,0,0,0,0,0,0,0,0,0
1991,74201,17,3.6,0,0,0,0,0,3.7,4.4,2.9
1991,74202,0,0,0,0,0,0,0,0,0,0
1991,75084,0,0,0,0,0,0,0,0,0,0
1991,75085,0,0,0,0,0,0,0,0,0,0
1991,75086,0,0,0,0,0,0,0,0,0,0
1991,75087,14,6.1,0,0,0,0,0,6.1,6.6,5.5
1991,76081,0,0,0,0,0,0,0,0,0,0
1991,76082,5,2.3,0,0,0,0,0,2.3,0,0
1991,76083,0,0,0,0,0,0,0,0,0,0
1991,77100,0,0,0,0,0,0,0,0,0,0
1991,77101,5,5.2,0,0,0,0,0,5.3,0,0
1991,77102,18,8.7,0,0,0,0,0,8.5,8.8,8.6
1991,77103,0,0,0,0,0,0,0,0,0,0
1991,77104,0,0,0,0,0,0,0,0,0,0
1991,78001,6,4.3,0,0,0,0,0,4.4,0,0
1991,78002,25,9.9,0,11.2,0,0,0,6.6,10.6,9.1
1991,78003,0,0,0,0,0,0,0,0,0,0
1991,78004,0,0,0,0,0,0,0,0,0,0
1991,78005,5,2.6,0,0,0,0,0,3.4,0,0
1991,78009,0,0,0,0,0,0,0,0,0,0
1991,78012,44,10,0,12.6,0,0,0,8.4,12.4,7.6
1991,78013,0,0,0,0,0,0,0,0,0,0
1991,79077,37,4.5,0,0,0,0,0,4.5,5.4,3.5
1991,79078,0,0,0,0,0,0,0,0,0,0
1991,80115,0,0,0,0,0,0,0,0,0,0
1991,80116,0,0,0,0,0,0,0,0,0,0
1991,80118,0,0,0,0,0,0,0,0,0,0
1991,80119,0,0,0,0,0,0,0,0,0,0
1991,80121,0,0,0,0,0,0,0,0,0,0
1991,80122,0,0,0,0,0,0,0,0,0,0
1991,80125,58,5.1,0,0,0,0,0,5,4.3,5.9
1991,81094,20,4.9,0,0,0,0,0,5.1,2.6,8.2
1991,81095,5,3.1,0,0,0,0,0,3.1,0,0
1991,81096,53,4.9,0,0,0,0,0,5,5.9,3.8
1991,81097,0,0,0,0,0,0,0,0,0,0
1991,82100,11,2.5,0,0,0,0,0,2.6,2.5,2.5
1991,82101,0,0,0,0,0,0,0,0,0,0
1991,82105,0,0,0,0,0,0,0,0,0,0
1991,82108,14,5.9,0,0,0,0,0,6.1,4.7,7.2
1991,83001,5,2.7,0,0,0,0,0,2.7,0,0
1991,83002,0,0,0,0,0,0,0,0,0,0
1991,83003,17,3.9,0,0,0,0,0,4,3.9,4
1991,83005,103,5.3,0,0,0,0,0,5.3,6.2,4.4
1991,84001,12,2.5,0,0,0,0,0,2.6,0,0
1991,84002,0,0,0,0,0,0,0,0,0,0
1991,84003,10,9.5,0,0,0,0,0,9.5,0,0
1991,84004,5,4,0,0,0,0,0,4,0,0
1991,84005,8,5,0,0,0,0,0,5,0,0
1991,84006,9,4.5,0,0,0,0,0,4.7,0,0
1991,85043,0,0,0,0,0,0,0,0,0,0
1991,85044,9,6,0,0,0,0,0,6,0,0
1991,85045,0,0,0,0,0,0,0,0,0,0
1991,85046,32,2.7,0,0,0,0,0,3.6,3,2.5
1991,85048,28,7.6,0,0,0,0,0,7.8,7.6,7.5
1991,85049,16,8.7,0,0,0,0,0,8.7,7.7,10
1991,86100,0,0,0,0,0,0,0,0,0,0
1991,87083,12,4.3,0,0,0,0,0,4.3,5,3.5
1991,88072,5,5.3,0,0,0,0,0,5.3,0,0
1991,88073,0,0,0,0,0,0,0,0,0,0
1991,88074,0,0,0,0,0,0,0,0,0,0
1991,88075,5,6.5,0,0,0,0,0,6.6,0,0
1991,88080,9,4.3,0,0,0,0,0,5.4,0,0
1991,88081,64,8.8,0,11.2,0,0,0,8.8,11.5,6.5
1991,89077,0,0,0,0,0,0,0,0,0,0
1991,89080,7,2.1,0,0,0,0,0,2.1,0,0
1991,89087,0,0,0,0,0,0,0,0,0,0
1991,89088,0,0,0,0,0,0,0,0,0,0
1991,89089,34,8,0,0,0,0,0,8.2,8.7,7.2
1991,90075,0,0,0,0,0,0,0,0,0,0
1991,90076,8,4.7,0,0,0,0,0,4.7,0,0
1991,90077,0,0,0,0,0,0,0,0,0,0
1991,90078,0,0,0,0,0,0,0,0,0,0
1991,91091,11,9.8,0,0,0,0,0,9.8,9.6,10.1
1991,91092,63,13,0,0,0,0,0,13,13.2,12.9
1991,91093,0,0,0,0,0,0,0,0,0,0
1991,91095,0,0,0,0,0,0,0,0,0,0
1991,92087,99,3.8,0,0,0,0,0,3.8,4.5,3
1991,92088,215,6,0,25.8,0,0,0,5.8,5.9,6.1
1991,92089,69,5.9,0,14.6,0,0,0,5,5.7,6
1991,92090,131,6.9,0,22.9,0,0,0,6.5,7.4,6.3
1991,92091,24,7.9,0,0,0,0,0,8,3.7,12.7
1991,93120,0,0,0,0,0,0,0,0,0,0
1991,93121,0,0,0,0,0,0,0,0,0,0
1991,93123,0,0,0,0,0,0,0,0,0,0
1991,93124,10,6.5,0,0,0,0,0,6.5,0,0
1991,94076,7,3.6,0,0,0,0,0,3.7,0,0
1991,94078,61,6,0,0,0,0,0,6.2,6,6.1
1991,94079,0,0,0,0,0,0,0,0,0,0
1991,94080,0,0,0,0,0,0,0,0,0,0
1991,94083,56,7.7,0,0,0,0,0,7.8,9.2,6.3
1991,94086,45,8.7,0,0,0,0,0,8.7,8.1,9.3
1991,94087,15,6.3,0,0,0,0,0,6.3,6.7,5.9
1991,95059,21,3.5,0,0,0,0,0,3.5,3.2,3.9
